country	FLAI_time	t1	t2	s_hat	s_var	vaccinated	recovered	delta_recov	alpha_recov	alpha_count_t1	alpha_count_t2	delta_count_t1	delta_count_t2	av_cases	x_wt	x_delta	x_alpha
SPAIN	44333	05/03/2021	06/02/2021	0.064	2.31e-05	0.159	0.077	9.447710186315621e-05	0.017723408803918362	3266	2448	66	336	113.17	0.1449527368653133	0.04882176176952455	0.8062255013651621
SPAIN	44340	05/10/2021	06/09/2021	0.063	1.38e-05	0.184	0.078	0.00013451752144042956	0.018295072730653342	3181	2188	103	462	102.41	0.1592386735195761	0.06916137679701935	0.7715999496834045
SPAIN	44347	05/17/2021	06/16/2021	0.071	1.04e-05	0.213	0.079	0.00019282931645833284	0.018813010172315382	2867	1751	161	836	100.12	0.1671100484352811	0.09583615949644886	0.73705379206827
SPAIN	44354	05/24/2021	06/23/2021	0.091	6.4e-06	0.246	0.079	0.000275318113760229	0.019271593749498408	2657	1316	226	1685	94.3	0.17775695321323481	0.13497213638737746	0.6872709103993877
SPAIN	44361	05/31/2021	06/30/2021	0.101	5.6e-06	0.284	0.08	0.0004024337068894551	0.01965363900044807	2513	1038	308	2600	93.47	0.18141954223312795	0.23812466618413905	0.580455791582733
SPAIN	44368	06/07/2021	07/07/2021	0.106	4.9e-06	0.328	0.081	0.0006621908404499255	0.019982195678148747	2271	770	417	3358	130.23	0.1740788300044004	0.43934234842627895	0.38657882156932066
SPAIN	44375	06/14/2021	07/14/2021	0.098	5e-06	0.375	0.082	0.0012406131043340084	0.0202831804640471	1899	550	675	3706	200.72	0.1550117010377966	0.5888036625546224	0.25618463640758105
SPAIN	44382	06/21/2021	07/21/2021	0.081	5.2e-06	0.425	0.084	0.002408317770384277	0.020586913712799623	1417	346	1419	3884	307.83	0.12970109183960457	0.6981644055115316	0.17213450264886385
SPAIN	44389	06/28/2021	07/28/2021	0.071	6.4e-06	0.474	0.086	0.00428897928207737	0.020911577068349917	1117	227	2353	3971	417.86	0.10146829838298775	0.7758011484518291	0.12273055316518312
SPAIN	44396	07/05/2021	08/04/2021	0.071	1.14e-05	0.519	0.089	0.00682411249801045	0.02123109218223422	840	118	3160	3723	491.63	0.06717536604876995	0.8510819119706238	0.08174272198060628
